Lisboa,2006:05:22 19:40:00,0,1,R.Comércio,Col.lat.c/outro veíc.em mov.
Lisboa,2006:05:23 18:15:00,0,1,Av.Alm.Gago Coutinho,Despiste simples
Concelho,Datahora,M,FG,Via,km,Natureza
Lisboa,2006:05:23 20:25:00,0,1,Pç.Comércio/R.Augusta,,Atrop.de peões
Lisboa,2006:05:24 08:45:00,0,1,Av.Inf D.Henrique,,Atrop.de peões
Lisboa,2006:05:24 11:20:00,0,1,Est.Benfica,,Colisão frontal
Lisboa,2006:05:24 15:30:00,0,1,R.S.Bento,,Atrop.de peões
Lisboa,2006:05:25 23:08:00,1,0,Av.24 Julho,,Atrop.de peões
Lisboa,2006:05:26 15:30:00,0,2,Est.Alvito,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:05:29 09:20:00,0,1,R.Prior Crato,,Atrop.de peões
Lisboa,2006:05:30 20:00:00,0,1,R.Joaquim Ant.Aguiar,,Colisão frontal
Lisboa,2006:05:31 14:20:00,0,1,Pqe.Estac.Amoreiras,,Despiste simples
Lisboa,2006:06:03 17:40:00,0,2,EN117,"1,3",Atrop.de peões
Lisboa,2006:06:04 16:00:00,0,5,Av.Brasilia,,Colisão frontal
Lisboa,2006:06:04 19:30:00,0,1,R.Luciano Cordeiro,,Atrop.de peões
Lisboa,2006:06:05 00:10:00,1,2,Av.India,,Atrop.de peões
Lisboa,2006:06:05 16:10:00,0,1,R.Barão Saborosa,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:06:05 18:30:00,0,1,R.Antonio Feijó,,Atrop.de peões
Lisboa,2006:06:07 12:00:00,0,1,R.F.S.Lopes c/R.Julieta Ferrão,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:06:08 02:25:00,0,1,Av.Eng.Duarte Pacheco,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:06:08 14:00:00,0,1,R.Escola Medicina Veternaria,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:06:09 17:15:00,0,1,R.Passos Manuel c/ R.Mindelo,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:06:17 11:15:00,0,1,R.Ivens,,Atrop.de peões
Lisboa,2006:06:17 20:55:00,0,1,Av.Ceuta,,Desp.c/transp.do disp.de ret.lat.
