Concelho,Datahora,M,FG,Via,Km,Natureza
Vila do Conde,19-05-2011 04:30,0,1,Rotunda dos Fund...-,Despiste com colisão com veículo imobil. ...
Vila do Conde,19-03-2011 12:45,0,1,Rua D 305-,Atropelamento de peões
Vila do Conde,06-06-2011 13:45,0,1,Rua da Agra Longa...-,Atropelamento de peões
Vila do Conde,27-02-2011 22:20,0,1,Rua das Violetas 549-,Colisão com veiculo ou obstáculo na faix...
Vila do Conde,08-01-2011 02:50,1,0,RUA SÃO CRISTOV...-,Despiste com colisão com veículo imobil. ...
Vila Nova de Gaia,23-11-2011 10:50,1,0,"A1297,800",Atropelamento de peões
Vila Nova de Gaia,13-03-2011 00:30,0,1,"A2942,100",Despiste com capotamento
Vila Nova de Gaia,14-07-2011 16:30,0,2,"A2947,375",Despiste simples
Vila Nova de Gaia,31-12-2011 20:00,0,1,"A444,600",Colisão frontal
Vila Nova de Gaia,13-04-2011 15:45,0,1,"A447,300",Colisão traseira com outro veículo em m...
Vila Nova de Gaia,12-05-2011 08:30,0,1,AV JOAO PAULO II...-,Atropelamento de peões
Vila Nova de Gaia,30-09-2011 18:05,1,0,Avenida de Beira M...-,Atropelamento de peões
Vila Nova de Gaia,02-05-2011 09:50,0,1,"EN10914,000",Atropelamento de peões
Vila Nova de Gaia,05-06-2011 01:45,1,0,"EN109-23,800",Despiste com colisão com veículo imobil. ...
Vila Nova de Gaia,05-12-2011 07:05,1,0,"EN2226,900",Atropelamento de peões
Vila Nova de Gaia,18-06-2011 11:42,0,1,"EN22211,700",Despiste simples
Vila Nova de Gaia,28-04-2011 17:40,0,1,LARGO DO MOSTE...-,Atropelamento de peões
Vila Nova de Gaia,01-05-2011 04:30,0,1,PRAÇA DA INDIA 17-,Despiste simples
Vila Nova de Gaia,17-12-2011 20:25,0,1,R 5 DE OUTUBRO ...-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,06-05-2011 12:45,0,1,R 5 DE OUTUBRO ...-,Colisão frontal
Vila Nova de Gaia,01-09-2011 17:20,0,1,R BORRELES 318-,Despiste com colisão com veículo imobil. ...
Vila Nova de Gaia,25-12-2011 16:25,0,1,R CENTRO SOCIAL...-,Atropelamento de peões
Vila Nova de Gaia,20-09-2011 17:20,0,1,R CONDES RESEN...-,Atropelamento de peões
Vila Nova de Gaia,24-04-2011 17:10,0,1,R DA BELA 325-,Despiste simples
Vila Nova de Gaia,15-12-2011 19:45,0,1,R DA ESTAÇÃO-,Colisão com outras situações
Vila Nova de Gaia,20-12-2011 22:00,0,1,R DE GASSAMAR 585-,Despiste simples
Vila Nova de Gaia,04-12-2011 18:54,0,1,R DE SÃO FELIX-,Despiste sem dispositivo de retenção
Vila Nova de Gaia,27-08-2011 13:45,0,1,R DO MUCELO-,Colisão frontal
Vila Nova de Gaia,29-05-2011 09:20,0,1,R DO PINHAL - SA...-,Colisão traseira com outro veículo em m...
Vila Nova de Gaia,06-07-2011 00:10,0,1,R ESTRADA RAINH...-,Despiste sem dispositivo de retenção
Vila Nova de Gaia,19-06-2011 15:15,0,1,R GUARDA 1586-,Despiste com colisão com veículo imobil. ...
Vila Nova de Gaia,13-04-2011 18:00,0,1,R POVOA DE CIMA...-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,07-12-2011 10:55,1,0,R PRESA SECA 5-,Despiste sem dispositivo de retenção
Vila Nova de Gaia,26-03-2011 20:00,0,1,R S MAMEDE - SER...-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,21-03-2011 18:45,0,1,R S MAMEDE - SER...-,Atropelamento de peões
Vila Nova de Gaia,03-10-2011 01:30,0,2,Rua Caetano de M...-,Despiste sem dispositivo de retenção
Vila Nova de Gaia,03-06-2011 21:25,0,1,Rua Caetano Reme...-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,05-01-2011 07:40,0,1,RUA DA RECHOUS...-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,20-03-2011 14:08,0,1,Rua de Bélgica 2772-,Despiste com colisão com veículo imobil. ...
Vila Nova de Gaia,19-10-2011 17:50,0,1,Rua de Jardim 538-,Colisão lateral com outro veículo em mov...
Vila Nova de Gaia,19-05-2011 12:15,0,1,Rua Heróis do Ultr...-,Atropelamento de peões
