Concelho Datahora M* FG* Via,Km,Natureza
Amarante 2006:02:18 01:40:00 1 0 EN210,"30,000",Desp.c/transp.do disp.de ret.lat.
Amarante 2006:02:19 14:50:00 0 1 Estrada Municipal,,Col.tras.c/outro veíc.em mov.
Amarante 2006:03:18 19:45:00 0 1 Av. Gen.Vitorino Laranjeira,,Atrop.de peões
Amarante 2006:04:11 17:00:00 1 0 Estrada Municipal,,Despiste simples
Amarante 2006:04:14 12:00:00 0 1 EN211-1,"0,005",Col.lat.c/outro veíc.em mov.
Amarante 2006:07:18 17:00:00 1 3 S. Gonçalo,,Desp.c/capotamento
Amarante 2006:07:19 19:00:00 1 1 EN101,"142,430",Colisão frontal
Amarante 2006:08:05 17:15:00 0 1 R. Igreja,,Col.tras.c/outro veíc.em mov.
Amarante 2006:08:12 15:00:00 1 0 Estrada Municipal,,Desp.s/disposi.de ret.
Amarante 2006:08:27 21:30:00 0 2 Var-Tamega,,Atrop.de peões
Amarante 2006:09:01 23:30:00 0 1 Av. Agua Nova,,Atrop.de peões
Amarante 2006:09:08 14:00:00 0 1 Estrada Municipal,,Col.c/veic.ou obst.na fxa. de rod.
Porto,2006:12:05 09:35:00,0,1,R. Passeio Alegre,,Atrop.de peões
Porto,2006:12:09 03:30:00,1,0,Al. Basilio Teles,,Desp.c/capotamento
Porto,2006:12:14 18:20:00,0,1,Pç Poveiras,,Atrop.de peões
Povoa de Varzim,2006:01:09 15:00:00,0,1,R. D. Maria I,,Atrop.de peões
Povoa de Varzim,2006:02:07 11:30:00,1,0,R. Luis Antonio,,Atrop.de peões
Povoa de Varzim,2006:02:13 18:30:00,1,1,EN205,"4,950",Colisão frontal
Povoa de Varzim,2006:02:13 18:40:00,0,1,EN13,"31,600",Atrop.de peões
Povoa de Varzim,2006:03:05 01:00:00,0,1,A28,"34,050",Desp.c/capotamento
Povoa de Varzim,2006:03:15 18:45:00,1,0,Rot. Relogio,,Despiste simples
Povoa de Varzim,2006:04:13 14:20:00,0,1,R. D. Benta,,Despiste simples
Povoa de Varzim,2006:05:07 21:30:00,0,1,R. Almirante Reis,,Col.c/veic.ou obst.na fxa. de rod.
Povoa de Varzim,2006:05:29 21:45:00,1,0,EN206,"9,400",Desp.c/capotamento
Povoa de Varzim,2006:06:02 18:15:00,0,1,R. Almirante Reis,,Atrop.de peões
Povoa de Varzim,2006:06:09 13:00:00,0,1,R. Eng. Ezequiel Campos,,Colisão frontal
Povoa de Varzim,2006:07:07 12:45:00,0,1,R. Familia Bonitos,,Col.lat.c/outro veíc.em mov.
Povoa de Varzim,2006:07:11 04:45:00,1,0,A28,"33,4",Despiste simples
Povoa de Varzim,2006:07:11 14:50:00,0,1,R. Paulo Barreto,,Atrop.de peões
