Concelho,Datahora,M,FG,,Via,Km,Natureza
Almeirim,23-02-2011 16:45,0,1,R DE SALVATERRA...,,-,Colisão com veiculo ou obstáculo na faix...
Almeirim,24-06-2011 19:40,0,1,R DR MIGUEL GON...,,-,Despiste simples
Almeirim,18-08-2011 14:00,0,1,R ESTRADA NACIO...,,-,Atropelamento de peões
Almeirim,04-10-2011 20:45,0,1,R GUILHERME NU...,,-,Atropelamento de peões
Almeirim,04-06-2011 02:45,1,1,R SANTAREM 12,,-,Despiste sem dispositivo de retenção
Almeirim,25-05-2011 16:10,0,1,ZONA INDUSTRIAL...,,-,Despiste simples
Alpiarca,27-04-2011 09:40,0,1,R CONSELHEIRO F...,,-,Despiste simples
Benavente,12-07-2011 17:19,0,1,BO 28 DE SETEMB...,,-,Atropelamento de peões
Benavente,28-10-2011 08:50,0,1,EN10,,"105,400",Colisão lateral com outro veículo em mov...
Benavente,22-05-2011 13:00,0,1,EN118,,"11,600",Colisão frontal
Benavente,22-12-2011 08:00,1,0,EN118,,"15,300",Colisão choque em cadeia
Benavente,28-07-2011 14:15,2,2,EN118,,"17,500",Colisão frontal
Benavente,18-11-2011 19:00,1,1,EN118,,"22,300",Despiste com colisão com veículo imobil. ...
Benavente,31-10-2011 18:10,0,1,EN118,,"31,800",Colisão lateral com outro veículo em mov...
Benavente,28-04-2011 12:40,0,1,EN118,,"34,700",Colisão frontal
Benavente,03-03-2011 08:00,0,1,EN118,,"37,820",Colisão frontal
Benavente,24-09-2011 15:15,1,0,EN118-1,,"1,700",Colisão traseira com outro veículo em m...
Benavente,09-10-2011 16:49,2,3,EN119,,"13,850",Colisão frontal
Benavente,20-07-2011 18:15,0,1,EN119,,"29,600",Colisão frontal
Benavente,08-04-2011 15:35,0,2,EN119,,"31,200",Colisão lateral com outro veículo em mov...
Benavente,24-02-2011 08:38,1,0,ESTRADA DAS ALE...,,-,Despiste com capotamento
Benavente,28-03-2011 07:55,0,1,ESTRADA DO MIR...,,-,Colisão frontal
Benavente,31-01-2011 17:00,0,1,ESTRADA DOS CU...,,-,Colisão lateral com outro veículo em mov...
